School Name,Borough,City,State,Zip Code,Latitude,Longitude,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
Academy for Environmental Leadership,Brooklyn,Brooklyn,NY,11237,40.69696,-73.91082,340.0,1.5,19.4,77.1,1.8,365.0,366.0,348.0,71.3
Academy of Urban Planning,Brooklyn,Brooklyn,NY,11237,40.69696,-73.91082,279.0,0.7,23.3,73.8,0.7,392.0,374.0,379.0,41.9
ACORN Community High School,Brooklyn,Brooklyn,NY,11238,40.678509999999996,-73.96207,504.0,1.6,83.5,12.9,1.0,379.0,395.0,385.0,61.3
Flushing High School,Queens,Flushing,NY,11354,40.765240000000006,-73.82786,2186.0,3.7,23.7,51.1,20.3,444.0,407.0,405.0,46.1
East-West School of International Studies,Queens,Flushing,NY,11355,40.7493,-73.82181,666.0,5.3,14.9,18.3,60.7,521.0,457.0,451.0,89.4
Flushing International High School,Queens,Flushing,NY,11355,40.76041,-73.81838,437.0,2.5,2.5,38.4,55.6,481.0,323.0,323.0,67.7
World Journalism Preparatory (College Board),Queens,Flushing,NY,11358,40.76512,-73.79006,610.0,50.3,9.1,22.7,15.8,484.0,491.0,487.0,89.2
Bayside High School,Queens,Bayside,NY,11361,40.77187,-73.78039,3336.0,18.1,13.0,27.9,40.3,523.0,479.0,485.0,76.7
Benjamin N. Cardozo High School,Queens,Oakland Gardens,NY,11364,40.752390000000005,-73.75608000000001,3505.0,14.9,20.3,19.4,44.1,563.0,505.0,510.0,75.6
Francis Lewis High School,Queens,Fresh Meadows,NY,11365,40.740559999999995,-73.79285,4172.0,14.9,7.4,23.1,53.9,562.0,483.0,485.0,80.7
Queens School of Inquiry,Queens,Fresh Meadows,NY,11366,40.72452,-73.80943,557.0,19.2,19.5,21.8,36.2,516.0,493.0,486.0,88.2
Robert F. Kennedy Community High School,Queens,Fresh Meadows,NY,11366,40.7256,-73.81071999999999,701.0,18.3,13.0,35.5,31.2,460.0,426.0,423.0,67.3
John Bowne High School,Queens,Flushing,NY,11367,40.7387,-73.82479000000001,3667.0,4.5,18.4,46.0,29.4,467.0,422.0,425.0,62.1
Townsend Harris High School,Queens,Flushing,NY,11367,40.73441,-73.82141999999999,1132.0,21.9,6.3,11.6,58.6,680.0,640.0,661.0,97.1
High School for Arts and Business,Queens,Corona,NY,11368,40.73742,-73.85331,870.0,4.1,7.8,77.2,10.2,413.0,405.0,393.0,76.7
Civic Leadership Academy,Queens,Elmhurst,NY,11373,40.7433,-73.87057,479.0,5.6,7.9,71.8,9.8,435.0,424.0,418.0,68.9
Maspeth High School,Queens,Elmhurst,NY,11373,40.72954,-73.88739,973.0,35.8,2.0,44.6,17.5,476.0,471.0,480.0,90.0
Pan American International High School,Queens,Elmhurst,NY,11373,40.7433,-73.87057,378.0,0.0,0.0,99.7,0.3,340.0,320.0,318.0,31.9
Newtown High School,Queens,Elmhurst,NY,11373,40.741209999999995,-73.87473,1921.0,4.3,8.3,61.4,24.0,434.0,401.0,389.0,39.1
Queens Metropolitan High School,Queens,Forest Hills,NY,11375,40.710440000000006,-73.85063000000001,1035.0,35.7,4.2,46.9,11.0,460.0,448.0,449.0,76.4
Grover Cleveland High School,Queens,Ridgewood,NY,11385,40.711220000000004,-73.90865,1828.0,18.9,4.5,65.7,9.7,452.0,422.0,416.0,38.9
Humanities and Arts Magnet High School,Queens,Cambria Heights,NY,11411,40.69554,-73.73491999999999,525.0,1.1,81.0,11.8,5.5,384.0,409.0,401.0,60.2
"Mathematics, Science Research, and Technology Magnet High School",Queens,Cambria Heights,NY,11411,40.69554,-73.73491999999999,433.0,1.6,72.3,11.8,9.9,380.0,418.0,388.0,54.9
Pathways College Preparatory School (College Board),Queens,Saint Albans,NY,11412,40.70639,-73.75353,599.0,1.3,89.7,5.7,2.8,405.0,427.0,409.0,72.4
Excelsior Preparatory High School,Queens,Springfield Gardens,NY,11413,40.66823,-73.75684,491.0,1.2,82.7,9.2,3.7,384.0,407.0,400.0,70.1
Preparatory Academy for Writers (College Board),Queens,Springfield Gardens,NY,11413,40.66823,-73.75684,552.0,2.4,81.0,8.4,4.2,398.0,410.0,393.0,69.5
Queens Preparatory Academy,Queens,Springfield Gardens,NY,11413,40.66823,-73.75684,492.0,1.0,80.7,9.1,4.3,423.0,422.0,403.0,83.7
George Washington Carver High School for the Sciences,Queens,Springfield Gardens,NY,11413,40.66823,-73.75684,509.0,1.8,75.6,11.4,9.4,439.0,428.0,419.0,63.5
"High School for Construction Trades, Engineering, and Architecture",Queens,Ozone Park,NY,11416,40.6894,-73.84064000000001,959.0,12.3,10.7,35.6,35.5,489.0,457.0,451.0,78.9
John Adams High School,Queens,Ozone Park,NY,11417,40.679829999999995,-73.83832,2634.0,2.9,23.9,37.9,31.0,418.0,401.0,395.0,38.4
Robert H. Goddard High School of Communication Arts and Technology,Queens,Ozone Park,NY,11417,40.67177,-73.84498,602.0,17.6,7.3,41.7,29.4,426.0,435.0,424.0,85.1
Richmond Hill High School,Queens,Richmond Hill,NY,11418,40.69565,-73.83358,2175.0,5.4,13.6,48.2,31.4,413.0,406.0,399.0,37.9
Cambria Heights Academy,Queens,Hollis,NY,11423,40.71182,-73.77119,372.0,2.2,79.0,9.1,6.7,418.0,424.0,411.0,58.5
"Queens High School of Teaching, Liberal Arts, and the Sciences",Queens,Bellerose,NY,11426,40.7449,-73.72691,1120.0,8.4,48.1,17.5,24.8,453.0,434.0,439.0,72.4
Martin Van Buren High School,Queens,Queens Village,NY,11427,40.732820000000004,-73.73965,1742.0,3.6,52.7,13.0,27.0,397.0,396.0,391.0,40.0
Queens Gateway to Health Sciences Secondary School,Queens,Jamaica,NY,11432,40.71881,-73.8065,779.0,2.9,38.2,14.2,43.3,524.0,511.0,514.0,92.5
Jamaica Gateway to the Sciences,Queens,Jamaica,NY,11432,40.71358,-73.79652,516.0,2.3,42.6,10.9,40.7,487.0,460.0,463.0,78.6
High School for Community Leadership,Queens,Jamaica,NY,11432,40.71358,-73.79652,418.0,4.5,42.3,26.6,22.7,415.0,392.0,386.0,72.3
Young Women's Leadership School in Queens,Queens,Jamaica,NY,11432,40.70821,-73.80408,557.0,1.9,47.5,19.7,26.9,415.0,420.0,433.0,90.4
Queens Collegiate (College Board),Queens,Jamaica,NY,11432,40.71358,-73.79652,661.0,4.1,53.4,16.1,24.8,455.0,439.0,441.0,74.8
Hillcrest High School,Queens,Jamaica,NY,11432,40.70876,-73.80213,3286.0,3.8,30.3,28.8,34.5,448.0,432.0,426.0,51.8
Thomas A. Edison Career and Technical Education High School,Queens,Jamaica,NY,11432,40.71588,-73.79881999999999,2098.0,4.2,20.9,22.4,49.0,514.0,473.0,470.0,80.0
Hillside Arts and Letters Academy,Queens,Jamaica,NY,11432,40.71358,-73.79652,464.0,3.0,37.7,24.4,27.8,409.0,399.0,404.0,62.6
York Early College Academy,Queens,Jamaica,NY,11433,40.696940000000005,-73.78698,611.0,1.2,58.0,10.3,28.7,496.0,481.0,473.0,92.9
Queens High School for the Sciences at York College,Queens,Jamaica,NY,11433,40.701,-73.79815,426.0,6.1,7.0,10.6,75.4,701.0,621.0,625.0,97.9
High School for Law Enforcement and Public Safety,Queens,Jamaica,NY,11434,40.68618,-73.78408,604.0,1.8,66.4,18.9,10.4,410.0,431.0,409.0,56.6
August Martin High School,Queens,Jamaica,NY,11434,40.67553,-73.78343000000001,679.0,1.5,75.4,13.0,7.5,366.0,372.0,364.0,26.3
Frederick Douglass Academy VI High School,Queens,Far Rockaway,NY,11691,40.60199,-73.76283000000001,409.0,0.7,59.7,37.9,1.5,410.0,418.0,407.0,30.1
Academy of Medical Technology (College Board),Queens,Far Rockaway,NY,11691,40.60199,-73.76283000000001,637.0,2.7,50.1,37.7,6.6,422.0,424.0,415.0,67.6
"Queens High School for Information, Research, and Technology",Queens,Far Rockaway,NY,11691,40.60199,-73.76283000000001,381.0,2.1,49.1,43.6,4.2,372.0,362.0,352.0,44.6
Rockaway Park High School for Environmental Sustainability,Queens,Rockaway Park,NY,11694,40.586009999999995,-73.82309000000001,368.0,14.7,46.7,30.2,3.5,357.0,381.0,376.0,38.5
Channel View School for Research,Queens,Rockaway Park,NY,11694,40.586009999999995,-73.82309000000001,683.0,10.7,53.2,29.1,6.0,427.0,430.0,423.0,76.6
Rockaway Collegiate High School,Queens,Rockaway Park,NY,11694,40.586009999999995,-73.82309000000001,397.0,3.8,52.6,33.5,5.0,399.0,403.0,405.0,46.5
Scholars' Academy,Queens,Rockaway Park,NY,11694,40.58413,-73.82568,1302.0,34.7,22.7,19.6,21.4,588.0,560.0,568.0,99.2
